MUD Elements:MID,MUD Elements:NAME,MUD Elements:ALTNAME,MUD Elements:ADDRESS,MUD Elements:CITY,MUD Elements:STATE,MUD Elements:ZIP,MUD Elements:ZIP5,MUD Elements:ZIP4,MUD Elements:PHONE,MUD Elements:WEBURL,MUD Elements:DISCIPL,MUD Elements:EIN,MUD Elements:NTEECC,MUD Elements:TAXPER,MUD Elements:INCOME,MUD Elements:REVENUE,MUD Elements:INCOMECD,MUD Elements:LOCALE4,MUD Elements:AAMREG,MUD Elements:LATITUDE,MUD Elements:LONGITUDE,MUD Elements:FIPSST,MUD Elements:FIPSCO,MUD Elements:TRACT,MUD Elements:BLOCK,MUD Elements:FIPSMIN,MUD Elements:FIPSPLAC,MUD Elements:CBSACODE,MUD Elements:METRODIV,MUD Elements:MICROF,MUD Elements:CNTRYCD,MUD Elements:IRS990_F,MUD Elements:IMLSAD_F,MUD Elements:FCT3P_F,MUD Elements:PFND_F
8401100023,"SMITHSONIAN INSTITUTION, NATIONAL AIR AND SPACE MUSEUM","SMITHSONIAN INSTITUTION, NATIONAL AIR AND SPACE MUSEUM",SIXTH ST & INDEPENDENCE,WASHINGTON,DC,20560,20560,,2026331000,http://www.nasm.si.edu/,GMU,,,,,,,1,2,38.89208,-77.028238,11,001,006202,1025,50000,50000,47900,47894,0,840,0,0,1,0
8400100420,SOUTHERN MUSEUM OF FLIGHT FDN INC,SOUTHERN MUSEUM OF FLIGHT,4343 73RD ST N,BIRMINGHAM,AL,35206-3642,35206,3642,,http://www.southernmuseumofflight.org,SCI,636051240,A57,201306,252063,229199,4,1,3,33.56388,-86.73859,01,073,000100,3041,90324,07000,13820,,0,840,1,0,1,1
